N,Target_E,Found_E,Status,Time_sec,Iterations
3,1,1,Success,0.000709738,250
4,2,2,Success,0.000334129,250
5,2,2,Success,0.000346422,250
6,7,7,Success,0.000356101,250
7,3,3,Success,0.000408244,250
8,8,8,Success,0.000392135,250
9,12,12,Success,0.000460371,250
10,13,13,Success,0.000520672,250
11,5,5,Success,0.00061893,250
12,10,10,Success,0.000682245,250
13,6,6,Success,0.00071681,250
14,19,19,Success,0.000671419,250
15,15,15,Success,0.0007456,250
16,24,24,Success,0.000777491,250
17,32,32,Success,0.000792906,250
18,25,25,Success,0.000816836,250
19,29,29,Success,0.000876296,250
20,26,26,Success,0.000915565,250
21,26,26,Success,0.000925935,250
22,39,39,Success,0.000873314,250
23,47,47,Success,0.000919964,250
24,36,36,Success,0.000981616,250
25,36,36,Success,0.0009941,250
26,45,45,Success,0.000961757,250
27,37,37,Success,0.00102626,250
28,50,50,Success,0.00105781,250
29,62,62,Success,0.00111458,250
30,59,59,Success,0.00105103,250
31,67,67,Success,0.00114067,250
32,64,64,Success,0.00117101,250
33,64,64,Success,0.00139257,250
34,65,65,Success,0.00136644,250
35,73,73,Success,0.00143546,250
36,82,82,Success,0.00154119,250
37,86,86,Success,0.00149902,250
38,87,87,Success,0.00316698,750
39,99,99,Success,0.00251903,500
40,108,116,Timeout,0.281415,100000
41,108,108,Success,0.00148547,250
42,101,101,Success,0.00228541,500
43,109,117,Timeout,0.28231,100000
44,122,130,Timeout,0.288829,100000
45,118,134,Timeout,0.281764,100000
46,131,139,Timeout,0.27808,100000
47,135,159,Timeout,0.29348,100000
48,140,164,Timeout,0.296268,100000
49,136,136,Success,0.00167552,250
50,153,161,Timeout,0.359323,100000
51,153,185,Timeout,1.12221,100000
52,166,190,Timeout,1.14293,100000
53,170,186,Timeout,1.15812,100000
54,175,223,Timeout,1.16349,100000
55,171,207,Timeout,1.16649,100000
56,192,228,Timeout,1.17089,100000
57,188,236,Timeout,1.16998,100000
58,197,237,Timeout,1.17813,100000
59,205,269,Timeout,1.18726,100000
60,218,274,Timeout,1.19454,100000
61,226,262,Timeout,1.19615,100000
62,235,275,Timeout,1.20099,100000
63,207,303,Timeout,1.20682,100000
64,208,316,Timeout,1.20606,100000
65,240,308,Timeout,1.31481,100000
66,257,337,Timeout,1.3119,100000
